t_exp,C_W_1,treatment_bd,treatment_id,wetmass_mg,num_tadpoles,fract_tadpoles,num_sample
0.0,0.0,uninfected,1,6.140355373108237,10,1.0,1
1.0,0.0,uninfected,1,9.06365598491141,10,1.0,1
2.0,0.0,uninfected,1,12.193238922971126,10,1.0,1
3.0,0.0,uninfected,1,15.530384382716864,10,1.0,1
4.0,0.0,uninfected,1,19.076782416088626,10,1.0,1
5.0,0.0,uninfected,1,22.83399254345262,10,1.0,1
6.0,0.0,uninfected,1,26.803337215581582,10,1.0,1
7.0,0.0,uninfected,1,30.985875960486567,10,1.0,1
8.0,0.0,uninfected,1,35.38240264325251,10,1.0,1
9.0,0.0,uninfected,1,39.99345096640978,10,1.0,1
10.0,0.0,uninfected,1,44.81930370490866,10,1.0,1
11.0,0.0,uninfected,1,49.860002579652416,10,1.0,1
12.0,0.0,uninfected,1,55.115359572302715,10,1.0,1
13.0,0.0,uninfected,1,60.584967889052756,10,1.0,1
14.0,0.0,uninfected,1,66.26821215743654,10,1.0,1
15.0,0.0,uninfected,1,72.16427988366567,10,1.0,1
16.0,0.0,uninfected,1,78.27217187343837,10,1.0,1
17.0,0.0,uninfected,1,84.59071116252197,10,1.0,1
18.0,0.0,uninfected,1,91.11855363777497,10,1.0,1
19.0,0.0,uninfected,1,97.85419762840317,10,1.0,1
20.0,0.0,uninfected,1,104.79599290796139,10,1.0,1
21.0,0.0,uninfected,1,111.94214802882516,10,1.0,1
22.0,0.0,uninfected,1,119.29074013426823,10,1.0,1
23.0,0.0,uninfected,1,126.83972281955532,10,1.0,1
24.0,0.0,uninfected,1,134.58693453846277,10,1.0,1
25.0,0.0,uninfected,1,142.53010478485882,10,1.0,1
26.0,0.0,uninfected,1,150.66686097288613,10,1.0,1
27.0,0.0,uninfected,1,158.99473658842666,10,1.0,1
28.0,0.0,uninfected,1,167.5111775882565,10,1.0,1
29.0,0.0,uninfected,1,176.21354853539498,10,1.0,1
30.0,0.0,uninfected,1,185.09913874012892,10,1.0,1
31.0,0.0,uninfected,1,194.16516764452825,10,1.0,1
32.0,0.0,uninfected,1,203.408790785042,10,1.0,1
33.0,0.0,uninfected,1,212.82710491996946,10,1.0,1
34.0,0.0,uninfected,1,210.54326805066458,8,0.8,1
35.0,0.0,uninfected,1,219.77894584481984,8,0.8,1
36.0,0.0,uninfected,1,222.61444949732783,7,0.7,1
37.0,0.0,uninfected,1,225.25440038958644,6,0.6,1
38.0,0.0,uninfected,1,227.5621015103205,5,0.5,1
39.0,0.0,uninfected,1,214.54576811904334,3,0.3,1
40.0,0.0,uninfected,1,222.83776061086053,3,0.3,1
41.0,0.0,uninfected,1,215.76453325955237,2,0.2,1
42.0,0.0,uninfected,1,223.71555638002428,2,0.2,1
43.0,0.0,uninfected,1,231.7713757111611,2,0.2,1
44.0,0.0,uninfected,1,214.41545926271095,1,0.1,1
45.0,0.0,uninfected,1,221.79118977317165,1,0.1,1
46.0,0.0,uninfected,1,229.25400304517265,1,0.1,1
47.0,0.0,uninfected,1,236.8017609706652,1,0.1,1
48.0,0.0,uninfected,1,244.43232495498967,1,0.1,1
49.0,0.0,uninfected,1,252.1435575170523,1,0.1,1
0.0,0.0,uninfected,2,5.255680104141977,10,1.0,1
1.0,0.0,uninfected,2,7.74790878895939,10,1.0,1
2.0,0.0,uninfected,2,10.41595893042462,10,1.0,1
3.0,0.0,uninfected,2,13.260750386910667,10,1.0,1
4.0,0.0,uninfected,2,16.283654149206992,10,1.0,1
5.0,0.0,uninfected,2,19.485958950794313,10,1.0,1
6.0,0.0,uninfected,2,22.86876370694527,10,1.0,1
7.0,0.0,uninfected,2,26.43294969612358,10,1.0,1
8.0,0.0,uninfected,2,30.179175751507167,10,1.0,1
9.0,0.0,uninfected,2,34.107881874383835,10,1.0,1
10.0,0.0,uninfected,2,38.21929608687942,10,1.0,1
11.0,0.0,uninfected,2,42.51344286328357,10,1.0,1
12.0,0.0,uninfected,2,46.99015228701915,10,1.0,1
13.0,0.0,uninfected,2,51.64906878201998,10,1.0,1
14.0,0.0,uninfected,2,56.48966068366726,10,1.0,1
15.0,0.0,uninfected,2,61.51122918245371,10,1.0,1
16.0,0.0,uninfected,2,66.71291663729296,10,1.0,1
17.0,0.0,uninfected,2,72.09371526094723,10,1.0,1
18.0,0.0,uninfected,2,77.65247579417459,10,1.0,1
19.0,0.0,uninfected,2,83.3879152384229,10,1.0,1
20.0,0.0,uninfected,2,89.29862370787338,10,1.0,1
21.0,0.0,uninfected,2,95.38307261959929,10,1.0,1
22.0,0.0,uninfected,2,101.63962212640696,10,1.0,1
23.0,0.0,uninfected,2,108.06652758577256,10,1.0,1
24.0,0.0,uninfected,2,114.66194572321449,10,1.0,1
25.0,0.0,uninfected,2,121.42394121029811,10,1.0,1
26.0,0.0,uninfected,2,128.35049318626744,10,1.0,1
26.0,0.03,uninfected,2,128.35049318626744,10,1.0,1
27.0,0.03,uninfected,2,135.43950191817362,10,1.0,1
28.0,0.03,uninfected,2,142.6887879484784,10,1.0,1
29.0,0.03,uninfected,2,150.096100349699,10,1.0,1
30.0,0.03,uninfected,2,157.65912443110506,10,1.0,1
31.0,0.03,uninfected,2,165.37548208368406,10,1.0,1
31.0,0.0,uninfected,2,165.37548208368406,10,1.0,1
32.0,0.0,uninfected,2,173.24278599040608,10,1.0,1
33.0,0.0,uninfected,2,181.2585845830531,10,1.0,1
34.0,0.0,uninfected,2,189.420344903123,10,1.0,1
35.0,0.0,uninfected,2,197.7255036768605,10,1.0,1
36.0,0.0,uninfected,2,206.17146441232143,10,1.0,1
37.0,0.0,uninfected,2,208.67925953568022,9,0.9,1
38.0,0.0,uninfected,2,217.15105671622854,9,0.9,1
39.0,0.0,uninfected,2,213.52051081378605,7,0.7,1
40.0,0.0,uninfected,2,221.7726710548374,7,0.7,1
41.0,0.0,uninfected,2,224.65555438553056,6,0.6,1
42.0,0.0,uninfected,2,226.75769982196297,5,0.5,1
43.0,0.0,uninfected,2,234.92359805336022,5,0.5,1
44.0,0.0,uninfected,2,236.70194356979417,4,0.4,1
45.0,0.0,uninfected,2,223.09991280453977,2,0.2,1
46.0,0.0,uninfected,2,230.60700490195336,2,0.2,1
47.0,0.0,uninfected,2,238.1995521423675,2,0.2,1
48.0,0.0,uninfected,2,245.87540324438066,2,0.2,1
49.0,0.0,uninfected,2,253.63240789682962,2,0.2,1
-1.0,0.0,uninfected,3,1.934183431971325,1,0.1,1
0.0,0.0,uninfected,3,5.454319554306862,10,1.0,1
1.0,0.0,uninfected,3,8.04330599475115,10,1.0,1
2.0,0.0,uninfected,3,10.814952724548434,10,1.0,1
3.0,0.0,uninfected,3,13.770260535402054,10,1.0,1
4.0,0.0,uninfected,3,16.910672148379653,10,1.0,1
5.0,0.0,uninfected,3,20.237537143502728,10,1.0,1
6.0,0.0,uninfected,3,23.75200464267389,10,1.0,1
7.0,0.0,uninfected,3,27.45499600775633,10,1.0,1
8.0,0.0,uninfected,3,31.347200445771534,10,1.0,1
9.0,0.0,uninfected,3,35.42907897558357,10,1.0,1
10.0,0.0,uninfected,3,39.70087203036392,10,1.0,1
11.0,0.0,uninfected,3,44.16260797623622,10,1.0,1
12.0,0.0,uninfected,3,48.81411271944825,10,1.0,1
13.0,0.0,uninfected,3,53.65501946556924,10,1.0,1
14.0,0.0,uninfected,3,58.684777705553095,10,1.0,1
15.0,0.0,uninfected,3,63.9026628366109,10,1.0,1
16.0,0.0,uninfected,3,69.30778585464496,10,1.0,1
17.0,0.0,uninfected,3,74.89910105883803,10,1.0,1
18.0,0.0,uninfected,3,80.67541514414557,10,1.0,1
19.0,0.0,uninfected,3,86.63539579175094,10,1.0,1
20.0,0.0,uninfected,3,92.77757986104864,10,1.0,1
21.0,0.0,uninfected,3,99.10037974298777,10,1.0,1
22.0,0.0,uninfected,3,105.60209174301599,10,1.0,1
23.0,0.0,uninfected,3,112.28090293947503,10,1.0,1
24.0,0.0,uninfected,3,119.13489922887432,10,1.0,1
25.0,0.0,uninfected,3,126.16207056222513,10,1.0,1
26.0,0.0,uninfected,3,133.36031636172,10,1.0,1
26.0,0.3,uninfected,3,133.36031636172,10,1.0,1
27.0,0.3,uninfected,3,140.7258193208688,10,1.0,1
28.0,0.3,uninfected,3,148.20605418326357,10,1.0,1
29.0,0.3,uninfected,3,155.60177228688377,10,1.0,1
30.0,0.3,uninfected,3,162.6121652664191,10,1.0,1
31.0,0.3,uninfected,3,168.98152794233926,10,1.0,1
31.0,0.0,uninfected,3,168.98152794233926,10,1.0,1
32.0,0.0,uninfected,3,175.7231213234799,10,1.0,1
33.0,0.0,uninfected,3,183.4254883151208,10,1.0,1
34.0,0.0,uninfected,3,191.61047573023487,10,1.0,1
35.0,0.0,uninfected,3,200.07294860009105,10,1.0,1
36.0,0.0,uninfected,3,199.79429319913513,8,0.8,1
37.0,0.0,uninfected,3,203.16278715103672,7,0.7,1
38.0,0.0,uninfected,3,211.53738204456727,7,0.7,1
39.0,0.0,uninfected,3,209.65609827370537,5,0.5,1
40.0,0.0,uninfected,3,209.79080274559226,4,0.4,1
41.0,0.0,uninfected,3,206.02134719720175,3,0.3,1
42.0,0.0,uninfected,3,198.29488112134246,2,0.2,1
43.0,0.0,uninfected,3,205.53572959275004,2,0.2,1
44.0,0.0,uninfected,3,173.17364415924197,1,0.1,1
45.0,0.0,uninfected,3,179.20824731308838,1,0.1,1
46.0,0.0,uninfected,3,185.31556316451216,1,0.1,1
47.0,0.0,uninfected,3,191.49383052339448,1,0.1,1
48.0,0.0,uninfected,3,197.74128747027555,1,0.1,1
49.0,0.0,uninfected,3,204.05617258147987,1,0.1,1
50.0,0.0,uninfected,3,210.43672591818606,1,0.1,1
51.0,0.0,uninfected,3,216.88119032535,1,0.1,1
52.0,0.0,uninfected,3,223.38781281375262,1,0.1,1
53.0,0.0,uninfected,3,229.95484537169654,1,0.1,1
54.0,0.0,uninfected,3,236.5805463035712,1,0.1,1
0.0,0.0,uninfected,1,5.333327320999494,10,1.0,2
1.0,0.0,uninfected,1,7.86382420533815,10,1.0,2
2.0,0.0,uninfected,1,10.572849362385565,10,1.0,2
3.0,0.0,uninfected,1,13.46135572404423,10,1.0,2
4.0,0.0,uninfected,1,16.530742968226715,10,1.0,2
5.0,0.0,uninfected,1,19.782324142447223,10,1.0,2
6.0,0.0,uninfected,1,23.217218197700216,10,1.0,2
7.0,0.0,uninfected,1,26.836322416001234,10,1.0,2
8.0,0.0,uninfected,1,30.640307733597563,10,1.0,2
9.0,0.0,uninfected,1,34.62962266540535,10,1.0,2
10.0,0.0,uninfected,1,38.80450017078395,10,1.0,2
11.0,0.0,uninfected,1,43.16496631485734,10,1.0,2
12.0,0.0,uninfected,1,47.71084981906914,10,1.0,2
13.0,0.0,uninfected,1,52.44179050436509,10,1.0,2
14.0,0.0,uninfected,1,57.35724928014399,10,1.0,2
15.0,0.0,uninfected,1,62.456517591568534,10,1.0,2
16.0,0.0,uninfected,1,67.73872511927368,10,1.0,2
17.0,0.0,uninfected,1,73.20284887926461,10,1.0,2
18.0,0.0,uninfected,1,78.84772266896091,10,1.0,2
19.0,0.0,uninfected,1,84.6720441404707,10,1.0,2
20.0,0.0,uninfected,1,90.67438197022395,10,1.0,2
21.0,0.0,uninfected,1,96.85318394771193,10,1.0,2
22.0,0.0,uninfected,1,103.20678536628267,10,1.0,2
23.0,0.0,uninfected,1,109.73341523608994,10,1.0,2
24.0,0.0,uninfected,1,116.43120151418285,10,1.0,2
25.0,0.0,uninfected,1,123.2981789957704,10,1.0,2
26.0,0.0,uninfected,1,130.33229587034208,10,1.0,2
27.0,0.0,uninfected,1,137.53141846693904,10,1.0,2
28.0,0.0,uninfected,1,144.89333757025025,10,1.0,2
29.0,0.0,uninfected,1,152.4157743166676,10,1.0,2
30.0,0.0,uninfected,1,160.09638485939914,10,1.0,2
31.0,0.0,uninfected,1,167.93276511317205,10,1.0,2
32.0,0.0,uninfected,1,175.92245609252694,10,1.0,2
33.0,0.0,uninfected,1,184.06294795861848,10,1.0,2
34.0,0.0,uninfected,1,192.3516859440294,10,1.0,2
35.0,0.0,uninfected,1,200.78607385223088,10,1.0,2
36.0,0.0,uninfected,1,209.36347640247385,10,1.0,2
37.0,0.0,uninfected,1,212.13519932614574,9,0.9,2
38.0,0.0,uninfected,1,214.39319676634142,8,0.8,2
39.0,0.0,uninfected,1,207.34618599309613,6,0.6,2
40.0,0.0,uninfected,1,205.4162491057733,5,0.5,2
41.0,0.0,uninfected,1,213.16527696730236,5,0.5,2
42.0,0.0,uninfected,1,209.01161994429464,4,0.4,2
43.0,0.0,uninfected,1,198.75920588267095,3,0.3,2
44.0,0.0,uninfected,1,205.7498215649862,3,0.3,2
45.0,0.0,uninfected,1,212.82599128941328,3,0.3,2
46.0,0.0,uninfected,1,219.98566615365726,3,0.3,2
47.0,0.0,uninfected,1,227.22679486110053,3,0.3,2
48.0,0.0,uninfected,1,234.54732549010816,3,0.3,2
-1.0,0.0,uninfected,1,1.8811190432330522,1,0.1,2
49.0,0.0,uninfected,1,202.00788558030223,1,0.1,2
50.0,0.0,uninfected,1,208.24102430643362,1,0.1,2
51.0,0.0,uninfected,1,214.53511044378027,1,0.1,2
52.0,0.0,uninfected,1,220.88844542198774,1,0.1,2
53.0,0.0,uninfected,1,227.2993340711033,1,0.1,2
54.0,0.0,uninfected,1,233.76609001062235,1,0.1,2
55.0,0.0,uninfected,1,240.28703545270758,1,0.1,2
56.0,0.0,uninfected,1,246.8605004962655,1,0.1,2
0.0,0.0,uninfected,2,6.424041132790276,10,1.0,2
1.0,0.0,uninfected,2,9.485372107439655,10,1.0,2
2.0,0.0,uninfected,2,12.762739294922943,10,1.0,2
3.0,0.0,uninfected,2,16.257537981420576,10,1.0,2
4.0,0.0,uninfected,2,19.9715602956938,10,1.0,2
5.0,0.0,uninfected,2,23.906452394822498,10,1.0,2
6.0,0.0,uninfected,2,28.063608316482537,10,1.0,2
7.0,0.0,uninfected,2,32.44414461573892,10,1.0,2
8.0,0.0,uninfected,2,37.0488983868503,10,1.0,2
9.0,0.0,uninfected,2,41.878433336007404,10,1.0,2
10.0,0.0,uninfected,2,46.933049688367916,10,1.0,2
11.0,0.0,uninfected,2,52.21279480887023,10,1.0,2
12.0,0.0,uninfected,2,57.717474745475954,10,1.0,2
13.0,0.0,uninfected,2,63.44666626263184,10,1.0,2
14.0,0.0,uninfected,2,69.39972740036532,10,1.0,2
15.0,0.0,uninfected,2,75.57580905681871,10,1.0,2
16.0,0.0,uninfected,2,81.97386659701868,10,1.0,2
17.0,0.0,uninfected,2,88.5926691743979,10,1.0,2
18.0,0.0,uninfected,2,95.43081024606579,10,1.0,2
19.0,0.0,uninfected,2,102.48671792242939,10,1.0,2
20.0,0.0,uninfected,2,109.75866484511252,10,1.0,2
21.0,0.0,uninfected,2,117.24477586278783,10,1.0,2
22.0,0.0,uninfected,2,124.94303750381593,10,1.0,2
23.0,0.0,uninfected,2,132.85130631895976,10,1.0,2
24.0,0.0,uninfected,2,140.96731894505675,10,1.0,2
25.0,0.0,uninfected,2,149.2886976612392,10,1.0,2
26.0,0.0,uninfected,2,157.81295734638888,10,1.0,2
26.0,0.03,uninfected,2,157.81295734638888,10,1.0,2
27.0,0.03,uninfected,2,166.53751562322032,10,1.0,2
28.0,0.03,uninfected,2,175.45969337938945,10,1.0,2
29.0,0.03,uninfected,2,184.57672173487657,10,1.0,2
30.0,0.03,uninfected,2,193.88575186372816,10,1.0,2
31.0,0.03,uninfected,2,203.38385801374537,10,1.0,2
31.0,0.0,uninfected,2,203.38385801374537,10,1.0,2
32.0,0.0,uninfected,2,213.068102307238,10,1.0,2
33.0,0.0,uninfected,2,222.93546724425664,10,1.0,2
34.0,0.0,uninfected,2,232.98283497900698,10,1.0,2
35.0,0.0,uninfected,2,232.2630343103065,7,0.7,2
36.0,0.0,uninfected,2,236.34176452712572,6,0.6,2
37.0,0.0,uninfected,2,233.44688938299532,4,0.4,2
38.0,0.0,uninfected,2,215.32908147349903,2,0.2,2
39.0,0.0,uninfected,2,223.85734077062077,2,0.2,2
40.0,0.0,uninfected,2,232.51091470906272,2,0.2,2
41.0,0.0,uninfected,2,241.28717808033622,2,0.2,2
42.0,0.0,uninfected,2,238.0776535795225,1,0.1,2
43.0,0.0,uninfected,2,246.6531957020208,1,0.1,2
44.0,0.0,uninfected,2,255.3378334639681,1,0.1,2
0.0,0.0,uninfected,3,5.477350516414573,10,1.0,2
1.0,0.0,uninfected,3,8.077453705954788,10,1.0,2
2.0,0.0,uninfected,3,10.86100121869627,10,1.0,2
3.0,0.0,uninfected,3,13.82900292018478,10,1.0,2
4.0,0.0,uninfected,3,16.982909572205934,10,1.0,2
5.0,0.0,uninfected,3,20.324077582736294,10,1.0,2
6.0,0.0,uninfected,3,23.853661862034564,10,1.0,2
7.0,0.0,uninfected,3,27.57258822799431,10,1.0,2
8.0,0.0,uninfected,3,31.481549342019424,10,1.0,2
9.0,0.0,uninfected,3,35.58100863250028,10,1.0,2
10.0,0.0,uninfected,3,39.871207680093605,10,1.0,2
11.0,0.0,uninfected,3,44.352175603719964,10,1.0,2
12.0,0.0,uninfected,3,49.02373756489753,10,1.0,2
13.0,0.0,uninfected,3,53.88552521888388,10,1.0,2
14.0,0.0,uninfected,3,58.93698644625275,10,1.0,2
15.0,0.0,uninfected,3,64.17739341740449,10,1.0,2
16.0,0.0,uninfected,3,69.60585276816337,10,1.0,2
17.0,0.0,uninfected,3,75.22131545023915,10,1.0,2
18.0,0.0,uninfected,3,81.0225830657759,10,1.0,2
19.0,0.0,uninfected,3,87.00831712602255,10,1.0,2
20.0,0.0,uninfected,3,93.17704752787768,10,1.0,2
21.0,0.0,uninfected,3,99.52718143737346,10,1.0,2
22.0,0.0,uninfected,3,106.05700769240825,10,1.0,2
23.0,0.0,uninfected,3,112.7647052239183,10,1.0,2
24.0,0.0,uninfected,3,119.64835083849259,10,1.0,2
25.0,0.0,uninfected,3,126.7059263672841,10,1.0,2
26.0,0.0,uninfected,3,133.935323235826,10,1.0,2
26.0,0.3,uninfected,3,133.935323235826,10,1.0,2
27.0,0.3,uninfected,3,141.33278217470314,10,1.0,2
28.0,0.3,uninfected,3,148.84531136896533,10,1.0,2
29.0,0.3,uninfected,3,156.27307449163794,10,1.0,2
30.0,0.3,uninfected,3,163.31381525517153,10,1.0,2
31.0,0.3,uninfected,3,169.7107811129062,10,1.0,2
31.0,0.0,uninfected,3,169.7107811129062,10,1.0,2
32.0,0.0,uninfected,3,176.4815938111624,10,1.0,2
33.0,0.0,uninfected,3,184.2173394143656,10,1.0,2
34.0,0.0,uninfected,3,192.43777516780693,10,1.0,2
35.0,0.0,uninfected,3,200.9369293625966,10,1.0,2
36.0,0.0,uninfected,3,209.63268660277362,10,1.0,2
37.0,0.0,uninfected,3,205.94228232672418,7,0.7,2
38.0,0.0,uninfected,3,200.12952479286724,5,0.5,2
39.0,0.0,uninfected,3,197.0379022251342,4,0.4,2
40.0,0.0,uninfected,3,204.76682522525059,4,0.4,2
41.0,0.0,uninfected,3,212.60798051377478,4,0.4,2
42.0,0.0,uninfected,3,211.52759426666253,3,0.3,2
43.0,0.0,uninfected,3,203.0182016156478,2,0.2,2
44.0,0.0,uninfected,3,210.26256995008137,2,0.2,2
45.0,0.0,uninfected,3,217.5976895705968,2,0.2,2
46.0,0.0,uninfected,3,225.0214197865557,2,0.2,2
47.0,0.0,uninfected,3,232.5316182687373,2,0.2,2
48.0,0.0,uninfected,3,232.09734229249355,1,0.1,2
49.0,0.0,uninfected,3,239.51602487720032,1,0.1,2
0.0,0.0,uninfected,1,6.090705507158292,10,1.0,3
1.0,0.0,uninfected,1,8.989542532238717,10,1.0,3
2.0,0.0,uninfected,1,12.09293271399633,10,1.0,3
3.0,0.0,uninfected,1,15.402135409555061,10,1.0,3
4.0,0.0,uninfected,1,18.918822392989526,10,1.0,3
5.0,0.0,uninfected,1,22.644537683764078,10,1.0,3
6.0,0.0,uninfected,1,26.580591041138455,10,1.0,3
7.0,0.0,uninfected,1,30.728031780717732,10,1.0,3
8.0,0.0,uninfected,1,35.087646068133964,10,1.0,3
9.0,0.0,uninfected,1,39.65996229474608,10,1.0,3
10.0,0.0,uninfected,1,44.44525992339074,10,1.0,3
11.0,0.0,uninfected,1,49.443579942249976,10,1.0,3
12.0,0.0,uninfected,1,54.654735073457765,10,1.0,3
13.0,0.0,uninfected,1,60.078321364250385,10,1.0,3
14.0,0.0,uninfected,1,65.71372858498754,10,1.0,3
15.0,0.0,uninfected,1,71.56015034288477,10,1.0,3
16.0,0.0,uninfected,1,77.61659510784723,10,1.0,3
17.0,0.0,uninfected,1,83.88189613672094,10,1.0,3
18.0,0.0,uninfected,1,90.35472054988625,10,1.0,3
19.0,0.0,uninfected,1,97.03357828785933,10,1.0,3
20.0,0.0,uninfected,1,103.91683261382249,10,1.0,3
21.0,0.0,uninfected,1,111.00270779624809,10,1.0,3
22.0,0.0,uninfected,1,118.28929748705093,10,1.0,3
23.0,0.0,uninfected,1,125.77457130667406,10,1.0,3
24.0,0.0,uninfected,1,133.4563853632944,10,1.0,3
25.0,0.0,uninfected,1,141.33248929225567,10,1.0,3
26.0,0.0,uninfected,1,149.40053038497805,10,1.0,3
27.0,0.0,uninfected,1,157.65806250753258,10,1.0,3
28.0,0.0,uninfected,1,166.10255297840527,10,1.0,3
29.0,0.0,uninfected,1,174.73138882829704,10,1.0,3
30.0,0.0,uninfected,1,183.5418822346629,10,1.0,3
31.0,0.0,uninfected,1,192.53127609200368,10,1.0,3
32.0,0.0,uninfected,1,201.6967499308137,10,1.0,3
33.0,0.0,uninfected,1,203.59913910348257,9,0.9,3
34.0,0.0,uninfected,1,212.77161183218902,9,0.9,3
35.0,0.0,uninfected,1,222.1054074798825,9,0.9,3
36.0,0.0,uninfected,1,220.12636157731956,7,0.7,3
37.0,0.0,uninfected,1,222.33525311146073,6,0.6,3
38.0,0.0,uninfected,1,231.36399952474116,6,0.6,3
39.0,0.0,uninfected,1,240.5303326629768,6,0.6,3
40.0,0.0,uninfected,1,246.64150853386224,5,0.5,3
41.0,0.0,uninfected,1,252.9024833981813,4,0.4,3
42.0,0.0,uninfected,1,255.23141199136347,2,0.2,3
0.0,0.0,uninfected,2,5.961460810626413,10,1.0,3
1.0,0.0,uninfected,2,8.797398715545082,10,1.0,3
2.0,0.0,uninfected,2,11.833446232154719,10,1.0,3
3.0,0.0,uninfected,2,15.070810124629727,10,1.0,3
4.0,0.0,uninfected,2,18.51111570253808,10,1.0,3
5.0,0.0,uninfected,2,22.155867550084334,10,1.0,3
6.0,0.0,uninfected,2,26.006342790463087,10,1.0,3
7.0,0.0,uninfected,2,30.06356481345781,10,1.0,3
8.0,0.0,uninfected,2,34.32830009500437,10,1.0,3
9.0,0.0,uninfected,2,38.801063350081435,10,1.0,3
10.0,0.0,uninfected,2,43.48212620918672,10,1.0,3
11.0,0.0,uninfected,2,48.37152697716546,10,1.0,3
12.0,0.0,uninfected,2,53.469081174177134,10,1.0,3
13.0,0.0,uninfected,2,58.77439241592607,10,1.0,3
14.0,0.0,uninfected,2,64.2868624272381,10,1.0,3
15.0,0.0,uninfected,2,70.00570154088679,10,1.0,3
16.0,0.0,uninfected,2,75.92993923419766,10,1.0,3
17.0,0.0,uninfected,2,82.05843308472568,10,1.0,3
18.0,0.0,uninfected,2,88.38987840399227,10,1.0,3
19.0,0.0,uninfected,2,94.92281748858781,10,1.0,3
20.0,0.0,uninfected,2,101.65564893119536,10,1.0,3
21.0,0.0,uninfected,2,108.58663496387108,10,1.0,3
22.0,0.0,uninfected,2,115.71390999871839,10,1.0,3
23.0,0.0,uninfected,2,123.03548830493267,10,1.0,3
24.0,0.0,uninfected,2,130.54927288468758,10,1.0,3
25.0,0.0,uninfected,2,138.2530615380939,10,1.0,3
26.0,0.0,uninfected,2,146.1445530216551,10,1.0,3
26.0,0.03,uninfected,2,146.1445530216551,10,1.0,3
27.0,0.03,uninfected,2,154.22135617851853,10,1.0,3
28.0,0.03,uninfected,2,162.4809893391187,10,1.0,3
29.0,0.03,uninfected,2,170.92088845599295,10,1.0,3
30.0,0.03,uninfected,2,179.5384169372423,10,1.0,3
31.0,0.03,uninfected,2,188.33086597149077,10,1.0,3
31.0,0.0,uninfected,2,188.33086597149077,10,1.0,3
32.0,0.0,uninfected,2,197.29551551912053,10,1.0,3
33.0,0.0,uninfected,2,198.9855210692772,9,0.9,3
34.0,0.0,uninfected,2,207.9492771681841,9,0.9,3
35.0,0.0,uninfected,2,217.07065812104986,9,0.9,3
36.0,0.0,uninfected,2,221.06308091615765,8,0.8,3
37.0,0.0,uninfected,2,224.09296731432093,7,0.7,3
38.0,0.0,uninfected,2,226.27710774785194,6,0.6,3
39.0,0.0,uninfected,2,229.5160658146778,5,0.5,3
40.0,0.0,uninfected,2,230.2034004317593,4,0.4,3
41.0,0.0,uninfected,2,238.8921540463513,4,0.4,3
42.0,0.0,uninfected,2,242.22334271367654,3,0.3,3
43.0,0.0,uninfected,2,250.94892897119132,3,0.3,3
44.0,0.0,uninfected,2,249.79674337397392,1,0.1,3
45.0,0.0,uninfected,2,258.39626004311106,1,0.1,3
0.0,0.0,uninfected,3,5.687020551902749,10,1.0,3
1.0,0.0,uninfected,3,8.389290749769316,10,1.0,3
2.0,0.0,uninfected,3,11.282225366078938,10,1.0,3
3.0,0.0,uninfected,3,14.366919548902597,10,1.0,3
4.0,0.0,uninfected,3,17.644899694295706,10,1.0,3
5.0,0.0,uninfected,3,21.117586455299264,10,1.0,3
6.0,0.0,uninfected,3,24.78618765653521,10,1.0,3
7.0,0.0,uninfected,3,28.65167142967499,10,1.0,3
8.0,0.0,uninfected,3,32.714762410089534,10,1.0,3
9.0,0.0,uninfected,3,36.97594625149316,10,1.0,3
10.0,0.0,uninfected,3,41.43547762464062,10,1.0,3
11.0,0.0,uninfected,3,46.093389501246016,10,1.0,3
12.0,0.0,uninfected,3,50.949503001211724,10,1.0,3
13.0,0.0,uninfected,3,56.00343768586417,10,1.0,3
14.0,0.0,uninfected,3,61.25462120185982,10,1.0,3
15.0,0.0,uninfected,3,66.70229913174386,10,1.0,3
16.0,0.0,uninfected,3,72.34554484672522,10,1.0,3
17.0,0.0,uninfected,3,78.18326845582047,10,1.0,3
18.0,0.0,uninfected,3,84.21422563179165,10,1.0,3
19.0,0.0,uninfected,3,90.4370264289229,10,1.0,3
20.0,0.0,uninfected,3,96.85014409821659,10,1.0,3
21.0,0.0,uninfected,3,103.45192232782726,10,1.0,3
22.0,0.0,uninfected,3,110.24058329962608,10,1.0,3
23.0,0.0,uninfected,3,117.21423482143753,10,1.0,3
24.0,0.0,uninfected,3,124.37087835530068,10,1.0,3
25.0,0.0,uninfected,3,131.70841620058022,10,1.0,3
26.0,0.0,uninfected,3,139.22465576706315,10,1.0,3
26.0,0.3,uninfected,3,139.22465576706315,10,1.0,3
27.0,0.3,uninfected,3,146.91561197248538,10,1.0,3
28.0,0.3,uninfected,3,154.72643881571406,10,1.0,3
29.0,0.3,uninfected,3,162.44910878851422,10,1.0,3
30.0,0.3,uninfected,3,169.76953032792142,10,1.0,3
31.0,0.3,uninfected,3,176.42070756917343,10,1.0,3
31.0,0.0,uninfected,3,176.42070756917343,10,1.0,3
32.0,0.0,uninfected,3,183.46059480671693,10,1.0,3
33.0,0.0,uninfected,3,191.50371222138565,10,1.0,3
34.0,0.0,uninfected,3,195.2473489468098,9,0.9,3
35.0,0.0,uninfected,3,198.38435354337855,8,0.8,3
36.0,0.0,uninfected,3,200.99672481030794,7,0.7,3
37.0,0.0,uninfected,3,203.34385480829164,6,0.6,3
38.0,0.0,uninfected,3,204.63388466093414,5,0.5,3
39.0,0.0,uninfected,3,203.79658036587475,4,0.4,3
